,Subject,trialtype,trialnum,TBR,inpos,outpos,resp,dist_RT,task,folder
282,13.0,S,13.0,suit,1.0,1,suite,6153.0,R.pool350,E9pool
283,13.0,S,13.0,flute,2.0,2,,5956.0,R.pool350,E9pool
284,13.0,S,13.0,loot,3.0,3,flute,6102.0,R.pool350,E9pool
285,13.0,S,13.0,root,4.0,4,loot,6122.0,R.pool350,E9pool
286,13.0,S,13.0,brute,5.0,5,root,5628.0,R.pool350,E9pool
287,13.0,D,14.0,chest,0.0,0,chest,6299.0,R.pool350,E9pool
288,13.0,D,14.0,lane,1.0,1,,5646.0,R.pool350,E9pool
289,13.0,D,14.0,hair,2.0,2,hair,5757.0,R.pool350,E9pool
290,13.0,D,14.0,crown,3.0,3,crown,6159.0,R.pool350,E9pool
291,13.0,S,15.0,jar,0.0,0,jar,6900.0,R.pool350,E9pool
292,13.0,S,15.0,bar,1.0,1,bar,8151.0,R.pool350,E9pool
293,13.0,S,15.0,car,2.0,2,car,6192.0,R.pool350,E9pool
294,13.0,S,15.0,scar,3.0,3,scar,6488.0,R.pool350,E9pool
295,13.0,S,15.0,star,4.0,4,,5620.0,R.pool350,E9pool
296,13.0,D,16.0,toy,0.0,0,toy,7035.0,R.pool350,E9pool
297,13.0,D,16.0,wreck,1.0,1,wreck,5401.0,R.pool350,E9pool
298,13.0,D,16.0,frown,2.0,2,frown,6089.0,R.pool350,E9pool
299,13.0,S,17.0,deer,0.0,0,deer,5760.0,R.pool350,E9pool
300,13.0,S,17.0,sphere,1.0,1,sphere,5146.0,R.pool350,E9pool
301,13.0,S,17.0,ear,2.0,2,ear,6375.0,R.pool350,E9pool
302,13.0,S,17.0,tear,3.0,3,tear,5432.0,R.pool350,E9pool
303,13.0,S,18.0,blouse,0.0,0,blouse,6686.0,R.pool350,E9pool
304,13.0,S,18.0,house,1.0,1,house,6795.0,R.pool350,E9pool
305,13.0,S,18.0,mouse,2.0,2,mouse,6587.0,R.pool350,E9pool
306,13.0,D,19.0,ant,0.0,0,ant,7435.0,R.pool350,E9pool
307,13.0,D,19.0,air,1.0,1,,7536.0,R.pool350,E9pool
308,13.0,D,19.0,ink,2.0,2,air,7016.0,R.pool350,E9pool
309,13.0,D,19.0,cloud,3.0,3,cloud,6376.0,R.pool350,E9pool
310,13.0,D,19.0,seat,4.0,4,seat,5921.0,R.pool350,E9pool
311,13.0,D,19.0,breath,5.0,5,breath,6331.0,R.pool350,E9pool
312,13.0,S,20.0,pie,0.0,0,pie,8218.0,R.pool350,E9pool
313,13.0,S,20.0,fly,1.0,1,fly,5560.0,R.pool350,E9pool
314,13.0,S,20.0,tie,2.0,2,tie,5138.0,R.pool350,E9pool
315,13.0,S,20.0,sky,3.0,3,,5693.0,R.pool350,E9pool
316,13.0,S,20.0,eye,4.0,4,eye,6306.0,R.pool350,E9pool
317,13.0,D,21.0,deck,0.0,0,deck,9315.0,R.pool350,E9pool
318,13.0,D,21.0,slice,1.0,1,slice,6348.0,R.pool350,E9pool
319,13.0,D,21.0,rat,2.0,2,rat,7126.0,R.pool350,E9pool
320,13.0,S,22.0,band,0.0,0,ran,5558.0,R.pool350,E9pool
321,13.0,S,22.0,land,1.0,1,,5768.0,R.pool350,E9pool
322,13.0,S,22.0,stand,2.0,2,,7354.0,R.pool350,E9pool
323,13.0,S,22.0,hand,3.0,3,hand,7154.0,R.pool350,E9pool
324,13.0,D,23.0,beard,0.0,0,beard,7162.0,R.pool350,E9pool
325,13.0,D,23.0,hill,1.0,1,,5834.0,R.pool350,E9pool
326,13.0,D,23.0,dirt,2.0,2,,5297.0,R.pool350,E9pool
327,13.0,D,23.0,card,3.0,3,line,5654.0,R.pool350,E9pool
328,13.0,D,23.0,line,4.0,,,5636.0,R.pool350,E9pool
329,13.0,D,24.0,shell,0.0,0,shell,7785.0,R.pool350,E9pool
330,13.0,D,24.0,tree,1.0,1,tree,5360.0,R.pool350,E9pool
331,13.0,D,24.0,bowl,2.0,2,,5851.0,R.pool350,E9pool
332,13.0,D,24.0,broom,3.0,3,hold,5169.0,R.pool350,E9pool
333,13.0,D,24.0,test,4.0,4,test,5243.0,R.pool350,E9pool
334,13.0,D,24.0,ground,5.0,5,ground,6498.0,R.pool350,E9pool
335,13.0,S,25.0,mail,0.0,0,tail,6487.0,R.pool350,E9pool
336,13.0,S,25.0,sail,1.0,1,sail,6228.0,R.pool350,E9pool
337,13.0,S,25.0,trail,2.0,2,wail,4947.0,R.pool350,E9pool
338,13.0,S,25.0,wail,3.0,3,trail,4966.0,R.pool350,E9pool
339,13.0,S,25.0,tail,4.0,4,,5072.0,R.pool350,E9pool
340,13.0,S,25.0,jail,5.0,5,jail,5054.0,R.pool350,E9pool
341,13.0,D,26.0,mare,0.0,0,,6029.0,R.pool350,E9pool
342,13.0,D,26.0,bell,1.0,1,,4612.0,R.pool350,E9pool
343,13.0,D,26.0,brain,2.0,2,bail,4814.0,R.pool350,E9pool
344,13.0,D,26.0,beef,3.0,3,beef,4727.0,R.pool350,E9pool
345,13.0,S,27.0,cream,0.0,0,cream,8078.0,R.pool350,E9pool
346,13.0,S,27.0,team,1.0,1,team,5585.0,R.pool350,E9pool
347,13.0,S,27.0,steam,2.0,2,steam,6187.0,R.pool350,E9pool
348,14.0,P,0.0,hood,0.0,0,hood,5885.0,R.pool350,E9pool
