,Subject,trialtype,trialnum,inpos,TBR,outpos,resp,dist_RT,task,folder
278,57.0,D,12.0,3.0,broom,3,ground,4122.0,spOspan.noVer,E7
279,57.0,D,12.0,4.0,test,,,3847.0,spOspan.noVer,E7
280,57.0,D,12.0,5.0,ground,,,3399.0,spOspan.noVer,E7
281,57.0,D,13.0,0.0,ant,0,ant,3624.0,spOspan.noVer,E7
282,57.0,D,13.0,1.0,air,1,air,3657.0,spOspan.noVer,E7
283,57.0,D,13.0,2.0,ink,2,cloud,3537.0,spOspan.noVer,E7
284,57.0,D,13.0,3.0,cloud,3,seat,4487.0,spOspan.noVer,E7
285,57.0,D,13.0,4.0,seat,4,breath,3638.0,spOspan.noVer,E7
286,57.0,D,13.0,5.0,breath,,,3615.0,spOspan.noVer,E7
287,57.0,D,14.0,0.0,chest,0,chest,3417.0,spOspan.noVer,E7
288,57.0,D,14.0,1.0,lane,1,hair,3837.0,spOspan.noVer,E7
289,57.0,D,14.0,2.0,hair,2,lane,4149.0,spOspan.noVer,E7
290,57.0,D,14.0,3.0,crown,3,crown,3938.0,spOspan.noVer,E7
291,57.0,D,15.0,0.0,toy,0,toy,3484.0,spOspan.noVer,E7
292,57.0,D,15.0,1.0,wreck,1,wreck,3485.0,spOspan.noVer,E7
293,57.0,D,15.0,2.0,frown,2,frown,3684.0,spOspan.noVer,E7
294,57.0,S,16.0,0.0,doll,0,doll,3596.0,spOspan.noVer,E7
295,57.0,S,16.0,1.0,ball,1,ball,3151.0,spOspan.noVer,E7
296,57.0,S,16.0,2.0,shawl,2,shawl,3754.0,spOspan.noVer,E7
297,57.0,S,16.0,3.0,hall,3,hall,3829.0,spOspan.noVer,E7
298,57.0,S,16.0,4.0,brawl,4,brawl,3496.0,spOspan.noVer,E7
299,57.0,S,16.0,5.0,wall,5,wall,3806.0,spOspan.noVer,E7
300,57.0,S,17.0,0.0,pie,0,pie,3716.0,spOspan.noVer,E7
301,57.0,S,17.0,1.0,fly,1,fly,3554.0,spOspan.noVer,E7
302,57.0,S,17.0,2.0,tie,2,tie,3549.0,spOspan.noVer,E7
303,57.0,S,17.0,3.0,sky,3,sky,3579.0,spOspan.noVer,E7
304,57.0,S,17.0,4.0,eye,4,,3767.0,spOspan.noVer,E7
305,57.0,S,18.0,0.0,cream,0,cream,4592.0,spOspan.noVer,E7
306,57.0,S,18.0,1.0,team,1,team,3762.0,spOspan.noVer,E7
307,57.0,S,18.0,2.0,steam,2,steam,3807.0,spOspan.noVer,E7
308,57.0,S,19.0,0.0,blouse,0,blouse,3326.0,spOspan.noVer,E7
309,57.0,S,19.0,1.0,house,1,house,3755.0,spOspan.noVer,E7
310,57.0,S,19.0,2.0,mouse,2,mouse,3646.0,spOspan.noVer,E7
311,57.0,S,20.0,0.0,jar,0,jar,3528.0,spOspan.noVer,E7
