"","Subject","task","trialtype","ACC.transdist","freq"
"688","34","Rspan.long","S",NA,24
"689","34","R.pool10","D",-1,3
"690","34","R.pool10","D",0,38
"691","34","R.pool10","D",1,2
"692","34","R.pool10","D",NA,11
"693","34","R.pool10","S",-1,2
"694","34","R.pool10","S",0,45
"695","34","R.pool10","S",1,1
"696","34","R.pool10","S",NA,7
"697","35","Rspan.short","D",-1,10
"698","35","Rspan.short","D",0,10
"699","35","Rspan.short","D",1,3
"700","35","Rspan.short","D",NA,32
"701","35","Rspan.short","S",-2,3
"702","35","Rspan.short","S",-1,10
"703","35","Rspan.short","S",0,21
"704","35","Rspan.short","S",1,1
"705","35","Rspan.short","S",NA,19
"706","35","R.pool15","D",-2,1
"707","35","R.pool15","D",-1,6
"708","35","R.pool15","D",0,36
"709","35","R.pool15","D",1,1
"710","35","R.pool15","D",2,1
"711","35","R.pool15","D",NA,9
"712","35","R.pool15","S",-1,4
"713","35","R.pool15","S",0,40
"714","35","R.pool15","S",1,3
"715","35","R.pool15","S",NA,8
"716","36","Rspan.long","D",-1,6
"717","36","Rspan.long","D",0,24
"718","36","Rspan.long","D",1,3
"719","36","Rspan.long","D",NA,22
"720","36","Rspan.long","S",-2,1
"721","36","Rspan.long","S",-1,8
"722","36","Rspan.long","S",0,24
"723","36","Rspan.long","S",1,2
"724","36","Rspan.long","S",NA,20
"725","36","R.pool30","D",-1,2
"726","36","R.pool30","D",0,47
"727","36","R.pool30","D",NA,5
"728","36","R.pool30","S",-1,3
"729","36","R.pool30","S",0,44
"730","36","R.pool30","S",NA,7
"731","37","Rspan.short","D",0,43
"732","37","Rspan.short","D",NA,11
"733","37","Rspan.short","S",-1,8
"734","37","Rspan.short","S",0,34
"735","37","Rspan.short","S",1,1
"736","37","Rspan.short","S",NA,11
"737","37","R.pool60","D",-1,7
"738","37","R.pool60","D",0,35
"739","37","R.pool60","D",NA,12
"740","37","R.pool60","S",-1,2
"741","37","R.pool60","S",0,43
"742","37","R.pool60","S",1,1
"743","37","R.pool60","S",NA,8
"744","38","Rspan.long","D",-1,6
"745","38","Rspan.long","D",0,24
"746","38","Rspan.long","D",1,1
"747","38","Rspan.long","D",NA,23
"748","38","Rspan.long","S",-2,1
"749","38","Rspan.long","S",-1,6
"750","38","Rspan.long","S",0,30
"751","38","Rspan.long","S",1,3
"752","38","Rspan.long","S",NA,14
"753","38","R.pool15","D",-1,3
"754","38","R.pool15","D",0,26
