"","Subject","task","folder","trialtype","triallen","ACC.ser","ACC.item","ACC.possible","ACC.blank","ACC.seqerr","ACC.transdist","ACC.transerr","ACC.pli","ACC.order"
"280","17","Ospan.reg","E4","S",6,0.277777777777778,0.611111111111111,1,0.388888888888889,0.333333333333333,NA,NA,0,0.454545454545455
"281","17","Rspan.short","E2","D",3,0.666666666666667,0.666666666666667,1,0.222222222222222,0,NA,NA,0,1
"282","17","Rspan.short","E2","D",4,0.25,0.5,1,0.5,0.25,NA,NA,0,0.5
"283","17","Rspan.short","E2","D",5,0.133333333333333,0.333333333333333,1,0.666666666666667,0.2,NA,NA,0,0.4
"284","17","Rspan.short","E2","D",6,0.111111111111111,0.444444444444444,1,0.555555555555556,0.333333333333333,NA,NA,0,0.25
"285","17","Rspan.short","E2","S",3,0.888888888888889,0.888888888888889,1,0.111111111111111,0,NA,NA,0,1
"286","17","Rspan.short","E2","S",4,0.416666666666667,0.75,1,0.25,0.333333333333333,NA,NA,0,0.555555555555556
"287","17","Rspan.short","E2","S",5,0.0666666666666667,0.4,1,0.6,0.333333333333333,NA,NA,0,0.166666666666667
"288","17","Rspan.short","E2","S",6,0.111111111111111,0.333333333333333,1,0.611111111111111,0.222222222222222,NA,NA,0,0.333333333333333
"289","17","R.pool10","E9poolb","D",3,0.444444444444444,0.555555555555556,1,0.111111111111111,0.111111111111111,NA,NA,0,0.8
"290","17","R.pool10","E9poolb","D",4,0.25,0.416666666666667,1,0.333333333333333,0.166666666666667,NA,NA,0.0833333333333333,0.6
"291","17","R.pool10","E9poolb","D",5,0.133333333333333,0.266666666666667,1,0.533333333333333,0.133333333333333,NA,NA,0.133333333333333,0.5
"292","17","R.pool10","E9poolb","D",6,0.0555555555555556,0.277777777777778,1,0.388888888888889,0.222222222222222,NA,NA,0.0555555555555556,0.2
"293","17","R.pool10","E9poolb","S",3,0.777777777777778,0.777777777777778,1,0,0,NA,NA,0.111111111111111,1
"294","17","R.pool10","E9poolb","S",4,0.5,0.75,1,0.166666666666667,0.25,NA,NA,0,0.666666666666667
"295","17","R.pool10","E9poolb","S",5,0.466666666666667,0.733333333333333,1,0.133333333333333,0.266666666666667,NA,NA,0,0.636363636363636
"296","17","R.pool10","E9poolb","S",6,0.111111111111111,0.444444444444444,1,0.388888888888889,0.333333333333333,NA,NA,0,0.25
"297","18","Ospan.reg","E4","D",3,1,1,1,0,0,0,0,0,1
"298","18","Ospan.reg","E4","D",4,0.833333333333333,0.833333333333333,1,0.166666666666667,0,NA,NA,0,1
"299","18","Ospan.reg","E4","D",5,0.733333333333333,0.8,1,0.2,0.0666666666666667,NA,NA,0,0.916666666666667
"300","18","Ospan.reg","E4","D",6,0.555555555555556,0.722222222222222,1,0.222222222222222,0.166666666666667,NA,NA,0.0555555555555556,0.769230769230769
"301","18","Ospan.reg","E4","S",3,1,1,1,0,0,0,0,0,1
"302","18","Ospan.reg","E4","S",4,0.583333333333333,0.75,1,0.25,0.166666666666667,NA,NA,0,0.777777777777778
"303","18","Ospan.reg","E4","S",5,0.6,0.733333333333333,1,0.266666666666667,0.133333333333333,NA,NA,0,0.818181818181818
"304","18","Ospan.reg","E4","S",6,0.5,0.611111111111111,1,0.333333333333333,0.111111111111111,NA,NA,0,0.818181818181818
"305","18","Rspan.long","E2","D",3,1,1,1,0,0,0,0,0,1
"306","18","Rspan.long","E2","D",4,1,1,1,0,0,0,0,0,1
"307","18","Rspan.long","E2","D",5,0.266666666666667,0.466666666666667,1,0.4,0.2,NA,NA,0,0.571428571428571
"308","18","Rspan.long","E2","D",6,0.444444444444444,0.611111111111111,1,0.277777777777778,0.166666666666667,NA,NA,0,0.727272727272727
"309","18","Rspan.long","E2","S",3,1,1,1,0,0,0,0,0,1
"310","18","Rspan.long","E2","S",4,0.666666666666667,0.75,1,0.0833333333333333,0.0833333333333333,NA,NA,0,0.888888888888889
"311","18","Rspan.long","E2","S",5,0.333333333333333,0.866666666666667,1,0.2,0.533333333333333,NA,NA,0,0.384615384615385
"312","18","Rspan.long","E2","S",6,0.333333333333333,0.777777777777778,1,0.222222222222222,0.444444444444444,NA,NA,0,0.428571428571429
"313","18","R.pool10","E9poolb","D",3,0.888888888888889,0.888888888888889,1,0,0,NA,NA,0,1
"314","18","R.pool10","E9poolb","D",4,0.166666666666667,0.75,1,0.166666666666667,0.583333333333333,NA,NA,0.0833333333333333,0.222222222222222
"315","18","R.pool10","E9poolb","D",5,0.333333333333333,0.666666666666667,1,0.2,0.333333333333333,NA,NA,0,0.5
"316","18","R.pool10","E9poolb","D",6,0,0.555555555555556,1,0.444444444444444,0.555555555555556,NA,NA,0,0
"317","18","R.pool10","E9poolb","S",3,1,1,1,0,0,0,0,0,1
"318","18","R.pool10","E9poolb","S",4,0.5,0.833333333333333,1,0.0833333333333333,0.333333333333333,NA,NA,0,0.6
